Title,Duration,Genre,Released,Link
Vertigo ,2h 8min,Mystery,"22 May 1958 (UK)
",https://www.imdb.com/title/tt0052357/
The Apartment ,2h 5min,Comedy,"16 September 1960 (France)
",https://www.imdb.com/title/tt0053604/
North by Northwest ,2h 16min,Adventure,"26 September 1959 (Japan)
",https://www.imdb.com/title/tt0053125/
A Clockwork Orange ,2h 16min,Crime,"2 February 1972 (USA)
",https://www.imdb.com/title/tt0066921/
The Sting ,2h 9min,Comedy,"25 December 1973 (USA)
",https://www.imdb.com/title/tt0070735/
2001: A Space Odyssey ,2h 29min,Adventure,"12 May 1968 (UK)
",https://www.imdb.com/title/tt0062622/
Singin' in the Rain ,1h 43min,Comedy,"11 April 1952 (USA)
",https://www.imdb.com/title/tt0045152/
Taxi Driver ,1h 54min,Crime,"9 February 1976 (USA)
",https://www.imdb.com/title/tt0075314/
Star Wars: Episode VI - Return of the Jedi ,2h 11min,Action,"25 May 1983 (USA)
",https://www.imdb.com/title/tt0086190/
Amadeus ,2h 40min,Biography,"19 September 1984 (USA)
",https://www.imdb.com/title/tt0086879/
Aliens ,2h 17min,Action,"18 July 1986 (USA)
",https://www.imdb.com/title/tt0090605/
Das Boot ,2h 29min,Adventure,"10 February 1982 (USA)
",https://www.imdb.com/title/tt0082096/
Rear Window ,1h 52min,Mystery,"September 1954 (USA)
",https://www.imdb.com/title/tt0047396/
Scarface ,2h 50min,Crime,"9 December 1983 (USA)
",https://www.imdb.com/title/tt0086250/
Witness for the Prosecution ,1h 56min,Crime,"6 February 1958 (USA)
",https://www.imdb.com/title/tt0051201/
Come and See ,2h 22min,Drama,"17 October 1985 (Hungary)
",https://www.imdb.com/title/tt0091251/
Alien ,1h 57min,Horror,"22 June 1979 (USA)
",https://www.imdb.com/title/tt0078748/
Paths of Glory ,1h 28min,Drama,"25 December 1957 (USA)
",https://www.imdb.com/title/tt0050825/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1h 35min,Comedy,"29 January 1964 (USA)
",https://www.imdb.com/title/tt0057012/
Sunset Blvd. ,1h 50min,Drama,"29 September 1950 (Australia)
",https://www.imdb.com/title/tt0043014/
High and Low ,2h 23min,Crime,"26 November 1963 (USA)
",https://www.imdb.com/title/tt0057565/
The Shining ,2h 26min,Drama,"13 June 1980 (USA)
",https://www.imdb.com/title/tt0081505/
Apocalypse Now ,2h 27min,Drama,"15 August 1979 (USA)
",https://www.imdb.com/title/tt0078788/
Once Upon a Time in America ,3h 49min,Crime,"1 June 1984 (USA)
",https://www.imdb.com/title/tt0087843/
Memento ,1h 53min,Mystery,"25 May 2001 (USA)
",https://www.imdb.com/title/tt0209144/
Princess Mononoke ,2h 14min,Animation,"19 December 1997 (USA)
",https://www.imdb.com/title/tt0119698/
Raiders of the Lost Ark ,1h 55min,Action,"12 June 1981 (USA)
",https://www.imdb.com/title/tt0082971/
WALL·E ,1h 38min,Animation,"27 June 2008 (USA)
",https://www.imdb.com/title/tt0910970/
3 Idiots ,2h 50min,Comedy,"25 December 2009 (India)
",https://www.imdb.com/title/tt1187043/
The Lives of Others ,2h 17min,Drama,"30 March 2007 (USA)
",https://www.imdb.com/title/tt0405094/
The Dark Knight Rises ,2h 44min,Action,"20 July 2012 (USA)
",https://www.imdb.com/title/tt1345836/
Oldboy ,2h,Action,"21 November 2003 (South Korea)
",https://www.imdb.com/title/tt0364569/
Like Stars on Earth ,2h 45min,Drama,"21 December 2007 (India)
",https://www.imdb.com/title/tt0986264/
Django Unchained ,2h 45min,Drama,"25 December 2012 (USA)
",https://www.imdb.com/title/tt1853728/
Coco ,1h 45min,Animation,"22 November 2017 (USA)
",https://www.imdb.com/title/tt2380307/
Avengers: Infinity War ,2h 29min,Action,"27 April 2018 (USA)
",https://www.imdb.com/title/tt4154756/
Dangal ,2h 41min,Action,"21 December 2016 (USA)
",https://www.imdb.com/title/tt5074352/
Spider-Man: Into the Spider-Verse ,1h 57min,Animation,"14 December 2018 (USA)
",https://www.imdb.com/title/tt4633694/
Capernaum ,2h 6min,Drama,"20 September 2018 (Lebanon)
",https://www.imdb.com/title/tt8267604/
City Lights ,1h 27min,Comedy,"7 March 1931 (USA)
",https://www.imdb.com/title/tt0021749/
Avengers: Endgame ,3h 1min,Action,"26 April 2019 (USA)
",https://www.imdb.com/title/tt4154796/
Life Is Beautiful ,1h 56min,Comedy,"12 February 1999 (USA)
",https://www.imdb.com/title/tt0118799/
Se7en ,2h 7min,Crime,"22 September 1995 (USA)
",https://www.imdb.com/title/tt0114369/
Your Name. ,1h 46min,Animation,"7 April 2017 (USA)
",https://www.imdb.com/title/tt5311514/
City of God ,2h 10min,Crime,"13 February 2004 (USA)
",https://www.imdb.com/title/tt0317248/
Modern Times ,1h 27min,Comedy,"25 February 1936 (USA)
",https://www.imdb.com/title/tt0027977/
The Green Mile ,3h 9min,Crime,"10 December 1999 (USA)
",https://www.imdb.com/title/tt0120689/
Saving Private Ryan ,2h 49min,Drama,"24 July 1998 (USA)
",https://www.imdb.com/title/tt0120815/
Spirited Away ,2h 5min,Animation,"28 March 2003 (USA)
",https://www.imdb.com/title/tt0245429/
One Flew Over the Cuckoo's Nest ,2h 13min,Drama,"19 November 1975 (USA)
",https://www.imdb.com/title/tt0073486/
Interstellar ,2h 49min,Adventure,"7 November 2014 (USA)
",https://www.imdb.com/title/tt0816692/
Parasite ,2h 12min,Comedy,"8 November 2019 (USA)
",https://www.imdb.com/title/tt6751668/
Harakiri ,2h 13min,Action,"4 August 1964 (USA)
",https://www.imdb.com/title/tt0056058/
"The Good, the Bad and the Ugly ",2h 58min,Western,"29 December 1967 (USA)
",https://www.imdb.com/title/tt0060196/
The Lord of the Rings: The Two Towers ,2h 59min,Adventure,"18 December 2002 (USA)
",https://www.imdb.com/title/tt0167261/
The Matrix ,2h 16min,Action,"31 March 1999 (USA)
",https://www.imdb.com/title/tt0133093/
Star Wars: Episode V - The Empire Strikes Back ,2h 4min,Action,"20 June 1980 (USA)
",https://www.imdb.com/title/tt0080684/
Goodfellas ,2h 26min,Biography,"21 September 1990 (USA)
",https://www.imdb.com/title/tt0099685/
Forrest Gump ,2h 22min,Drama,"6 July 1994 (USA)
",https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Fellowship of the Ring ,2h 58min,Action,"19 December 2001 (USA)
",https://www.imdb.com/title/tt0120737/
Inception ,2h 28min,Action,"16 July 2010 (USA)
",https://www.imdb.com/title/tt1375666/
12 Angry Men ,1h 36min,Crime,"10 April 1957 (USA)
",https://www.imdb.com/title/tt0050083/
Fight Club ,2h 19min,Drama,"15 October 1999 (USA)
",https://www.imdb.com/title/tt0137523/
The Godfather ,2h 55min,Crime,"24 March 1972 (USA)
",https://www.imdb.com/title/tt0068646/
The Godfather: Part II ,3h 22min,Crime,"18 December 1974 (USA)
",https://www.imdb.com/title/tt0071562/
Schindler's List ,3h 15min,Biography,"4 February 1994 (USA)
",https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King ,3h 21min,Adventure,"17 December 2003 (USA)
",https://www.imdb.com/title/tt0167260/
Pulp Fiction ,2h 34min,Crime,"14 October 1994 (USA)
",https://www.imdb.com/title/tt0110912/
The Dark Knight ,2h 32min,Action,"18 July 2008 (USA)
",https://www.imdb.com/title/tt0468569/
